"Any count-specific notes should be left as COMMENTS or detailed thoroughly in the NOTES column at the end. Be sure to double-check the row, collection date, and fruit/seed type as you're entering data",,,,,,TOTAL COUNTS (To be summed after all data entered),,,The average of the weekly mean seed mass,Collection Date: 2023-03-30,,,,,Collection Date: 2023-04-12,,,,,Collection Date: 2023-04-26,,,,,Collection Date: 2023-05-10,,,,,Collection Date: 2023-05-24,,,,,Collection Date: 2023-06-07,,,,,Collection Date: 2023-06-21,,,,,Collection Date: NA,,,,,Notes:
Location,Seg,Gen,Sym,Recipient,Fit_plant,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,Mean seed mass_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-03-30,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-04-12,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-04-26,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-05-10,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-05-24,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-07,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-21,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg NA,
58,173L,G1,-,BB_093,2,,,,3.2225,,,,,,,,,,,,,,,,,,,,,1,4,4,12.89,3.2225,,,,,,,,,,,,,,,,
58,173R,G2,X,BB_145,4,,,,2.478571429,,,,,,2,0,0,,,,,,,,3,7,7,19.86,2.837142857,2,1,1,2.12,2.12,,,,,,,,,,,,,,,,
58,174L,G2,X,BB_045,4,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
58,174R,G1,-,BB_027,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,175L,G2,X,BB_166,4,,,,1.81,,,,,,,,,,,,,,,,2,2,2,3.62,1.81,,,,,,,,,,,,,,,,,,,,,
59,175R,G1,-,BB_013,1,,,,2.185,,,,,,,,,,,,,,,,3,2,2,4.37,2.185,,,,,,,,,,,,,,,,,,,,,
59,176L,G1,-,BB_019,1,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
59,177L,G2,X,BB_089,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,177R,G1,-,BB_199,4,,,,2.685,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,5.37,2.685,,,,,,,,,,,
60,178L,G1,-,BB_072,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,178R,G1,-,BB_170,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,179R,G2,X,BB_019,5,,,,3.906,,,,,,,,,,,,,,,,3,5,5,19.53,3.906,,,,,,,,,,,,,,,,,,,,,
60,180R,G1,-,BB_172,5,,,,,,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,
61,181L,G2,X,BB_150,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,181R,G1,-,BB_210,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,182R,G1,-,BB_218,1,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
61,183L,G1,-,BB_133,2,,,,3.200578544,,,,,,,,,,,,,,,,3,29,29,86.19,2.972068966,12,50,30,96.59,3.219666667,2,5,5,17.05,3.41,,,,,,,,,,,
62,184L,G2,X,BB_052,4,,,,1.142222222,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,9,10.28,1.142222222,,,,,,,,,,,
62,184R,G1,-,BB_161,1,,,,2.806470588,,,,,,3,0,0,,,,,,,,1,3,3,6.57,2.19,,,,,,5,17,17,58.19,3.422941176,,,,,,,,,,,
62,185L,G1,-,BB_111,1,,,,2.22,,,,,,,,,,,,,,,,,,,,,2,4,4,8.88,2.22,,,,,,,,,,,,,,,,
62,185R,G1,-,BB_058,3,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
62,186L,G2,X,BB_017,3,,,,6.081388889,,,,,,,,,,,,,,,,,,,,,2,8,8,41.64,5.205,,,,,,3,9,9,62.62,6.957777778,,,,,,
62,186R,G1,-,BB_093,3,,,,1.946666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,5.84,1.946666667,,,,,,
63,187L,G2,X,BB_123,2,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
63,187R,G1,-,BB_131,3,,,,2.10875,,,,,,4,0,0,,,1,8,8,16.87,2.10875,,,,,,,,,,,,,,,,,,,,,,,,,,
63,188R,G1,-,BB_208,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,189L,G1,-,BB_034,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,189R,G1,-,BB_210,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,190L,G1,-,BB_025,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,190R,G1,-,BB_052,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,191L,G1,-,BB_095,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,191R,G1,-,BB_086,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,192L,G1,-,BB_113,5,,,,3.448666667,,,,,,,,,,,,,,,,,,,,,5,45,30,103.46,3.448666667,,,,,,,,,,,,,,,,
64,192R,G1,-,BB_016,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,193L,G1,-,BB_084,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,
65,194L,G1,-,BB_077,2,,,,3.711666667,,,,,,,,,,,,,,,,,,,,,2,6,6,22.27,3.711666667,,,,,,,,,,,,,,,,
65,195R,G1,-,BB_160,5,,,,1.617272727,,,,,,,,,,,,,,,,1,0,0,,,6,22,22,35.58,1.617272727,,,,,,,,,,,,,,,,
66,196L,G1,-,BB_185,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,197L,G2,X,BB_093,3,,,,0.96925,,,,,,,,,,,,,,,,3,4,4,2.63,0.6575,,,,,,,,,,,4,32,30,38.43,1.281,,,,,,
66,197R,G1,-,BB_081,1,,,,1.735,,,,,,4,2,2,2.58,1.29,,,,,,1,0,0,,,1,7,7,15.26,2.18,,,,,,,,,,,,,,,,
66,198L,G1,-,BB_157,5,,,,6.643777778,,,,,,,,,,,,,,,,3,10,10,67.62,6.762,,,,,,7,18,18,117.46,6.525555556,,,,,,,,,,,
66,198R,G2,X,BB_205A,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,199L,G2,X,BB_160,1,,,,3.21,,,,,,,,,,,,,,,,,,,,,4,31,30,96.3,3.21,,,,,,,,,,,,,,,,
67,199R,G1,-,BB_193,1,,,,2.82,,,,,,,,,,,,,,,,,,,,,1,1,1,2.82,2.82,,,,,,,,,,,,,,,,
67,200L,G1,-,BB_050,4,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
67,200R,G1,-,BB_201,2,,,,2.749821429,,,,,,2,2,2,1.97,0.985,,,,,,,,,,,8,28,28,126.41,4.514642857,,,,,,,,,,,,,,,,
67,201L,G1,-,BB_032,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,201R,G1,-,BB_150,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,202L,G1,-,BB_189,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,204L,G1,-,BB_024,2,,,,,,,,,,,,,,,,,,,,1,0,0,,,2,0,0,,,,,,,,,,,,,,,,,,
68,204R,G1,-,BB_040,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,205L,G2,X,BB_131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,205R,G1,-,BB_081,2,,,,6.18,,,,,,,,,,,,,,,,,,,,,1,2,2,12.36,6.18,,,,,,,,,,,,,,,,
69,206L,G1,-,BB_211,4,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,206R,G1,-,BB_079,5,,,,1.189285714,1,0,0,,,3,7,7,6.92,0.988571429,,,,,,1,1,1,1.39,1.39,,,,,,,,,,,,,,,,,,,,,
69,207L,G1,-,BB_054,2,,,,2.865,,,,,,,,,,,,,,,,,,,,,1,2,2,5.73,2.865,,,,,,,,,,,,,,,,
69,207R,G1,-,BB_120,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,209L,G1,-,BB_046,2,,,,5.385333333,,,,,,,,,,,,,,,,2,10,10,24.36,2.436,1,3,3,11.88,3.96,1,1,1,9.76,9.76,,,,,,,,,,,
70,209R,G1,-,BB_063,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,211L,G1,-,BB_002,4,,,,2.83125,,,,,,,,,,,,,,,,,,,,,2,8,8,22.65,2.83125,,,,,,,,,,,,,,,,
71,212L,G1,-,BB_098,3,,,,5.07,,,,,,,,,,,,,,,,1,10,10,34.6,3.46,1,1,1,6.68,6.68,,,,,,,,,,,,,,,,
71,212R,G2,X,BB_215,1,,,,2.198014354,,,,,,1,2,2,1.44,0.72,,,,,,4,22,22,55.17,2.507727273,3,19,19,63.96,3.366315789,,,,,,,,,,,,,,,,
71,213L,G1,-,BB_097,5,,,,1.4425,,,,,,,,,,,,,,,,,,,,,2,8,8,11.54,1.4425,,,,,,,,,,,,,,,,
71,213R,G2,X,BB_089,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,215L,G2,X,BB_139,2,,,,7.4525,,,,,,,,,,,,,,,,,,,,,3,3,3,12.78,4.26,1,2,2,21.29,10.645,,,,,,,,,,,
73,217L,G1,-,BB_134,4,,,,1.167777778,,,,,,,,,,,,,,,,,,,,,2,9,9,10.51,1.167777778,,,,,,,,,,,,,,,,
73,217R,G1,-,BB_183,1,,,,4.331,,,,,,,,,,,,,,,,6,10,10,40.52,4.052,2,10,10,46.1,4.61,,,,,,,,,,,,,,,,
73,218L,G1,-,BB_085,5,,,,6.542,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,32.71,6.542,,,,,,,,,,,
74,220L,G2,X,BB_004,2,,,,3.660472222,,,,,,1,0,0,,,,,,,,3,18,18,28.99,1.610555556,13,129,30,45.68,1.522666667,4,34,30,112.76,3.758666667,1,1,1,7.75,7.75,,,,,,
74,221R,G2,X,BB_121,4,,,,1.562666667,,,,,,,,,,,,,,,,3,15,15,23.44,1.562666667,,,,,,,,,,,,,,,,,,,,,
74,222L,G1,-,BB_135,4,,,,4.3125,,,,,,,,,,,,,,,,3,8,8,34.5,4.3125,,,,,,,,,,,,,,,,,,,,,
74,222R,G1,-,BB_164,4,,,,3.153384615,,,,,,,,,,,,,,,,1,10,10,36.26,3.626,2,13,13,34.85,2.680769231,,,,,,,,,,,,,,,,
76,226L,G2,X,BB_029,2,,,,3.167272727,,,,,,,,,,,,,,,,,,,,,2,11,11,34.84,3.167272727,,,,,,,,,,,,,,,,
76,227L,G2,X,BB_179,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,229R,G1,-,BB_116,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,232L,G1,-,BB_078,3,,,,2.021875,,,,,,,,,,,,,,,,3,13,13,26.39,2.03,7,8,8,16.11,2.01375,,,,,,,,,,,,,,,,
78,233R,G1,-,BB_135,5,,,,2.467,,,,,,,,,,,,,,,,1,15,15,42.96,2.864,3,9,9,18.63,2.07,,,,,,,,,,,,,,,,
78,234R,G2,X,BB_101,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,235L,G1,-,BB_077,1,,,,2.076,,,,,,,,,,,1,0,0,,,4,5,5,13.11,2.622,2,1,1,1.53,1.53,,,,,,,,,,,,,,,,
79,235R,G1,-,BB_131,2,,,,4.07,,,,,,,,,,,,,,,,1,7,7,28.49,4.07,,,,,,,,,,,,,,,,,,,,,
79,236L,G1,-,BB_045,3,,,,3.203181818,,,,,,,,,,,,,,,,1,4,4,11.2,2.8,4,11,11,39.67,3.606363636,,,,,,,,,,,,,,,,
79,236R,G1,-,BB_158,5,,,,1.97,,,,,,,,,,,,,,,,1,0,0,,,1,1,1,1.97,1.97,,,,,,,,,,,,,,,,
79,237L,G1,-,BB_095,4,,,,3.668,,,,,,,,,,,,,,,,6,40,30,64.19,2.139666667,11,53,30,127.93,4.264333333,2,2,2,9.2,4.6,,,,,,,,,,,
79,237R,G1,-,BB_186,1,,,,3.755,,,,,,,,,,,,,,,,,,,,,11,38,30,132.5,4.416666667,2,3,3,9.28,3.093333333,,,,,,,,,,,
80,238R,G2,X,BB_123,4,,,,3.254272031,,,,,,,,,,,,,,,,9,50,30,100.48,3.349333333,4,29,29,106.27,3.664482759,3,10,10,27.49,2.749,,,,,,,,,,,
80,239L,G1,-,BB_003,5,,,,5.550333333,,,,,,,,,,,,,,,,10,32,30,187.82,6.260666667,1,2,2,9.68,4.84,,,,,,,,,,,,,,,,
80,239R,G1,-,BB_204,1,,,,2.59024359,,,,,,,,,,,,,,,,8,30,30,79.63,2.654333333,4,13,13,32.84,2.526153846,,,,,,,,,,,,,,,,
80,240R,G2,X,BB_151,3,,,,3.154,,,,,,,,,,,,,,,,5,36,30,94.62,3.154,,,,,,,,,,,,,,,,,,,,,
81,241R,G1,-,BB_170,5,,,,2.835,,,,,,,,,,,,,,,,4,12,12,30.57,2.5475,,,,,,2,8,8,24.98,3.1225,,,,,,,,,,,
81,243L,G1,-,BB_049,2,,,,1.664,1,0,0,,,,,,,,1,1,1,1.02,1.02,6,47,30,61.41,2.047,3,6,6,11.55,1.925,,,,,,,,,,,,,,,,
81,243R,G2,X,BB_053,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,244L,G1,-,BB_170,2,,,,4.433583333,,,,,,,,,,,,,,,,2,8,8,22.46,2.8075,7,33,30,181.79,6.059666667,,,,,,,,,,,,,,,,
82,244R,G1,-,BB_060,3,,,,2.656666667,,,,,,,,,,,,,,,,,,,,,3,3,3,7.97,2.656666667,,,,,,,,,,,,,,,,
82,245L,G1,-,BB_040,4,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
82,245R,G1,-,BB_053,2,,,,4.42,,,,,,,,,,,,,,,,1,1,1,4.42,4.42,,,,,,,,,,,,,,,,,,,,,
82,246L,G2,X,BB_215,5,,,,4.678611111,,,,,,1,1,1,4.21,4.21,,,,,,5,9,9,24.69,2.743333333,3,12,12,84.99,7.0825,,,,,,,,,,,,,,,,
83,247L,G1,-,BB_056,3,,,,2.787333333,,,,,,,,,,,,,,,,10,46,30,83.62,2.787333333,3,0,0,,,,,,,,,,,,,,,,,,
83,247R,G1,-,BB_104,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,248R,G2,X,BB_002,4,,,,4.244,,,,,,,,,,,,,,,,,,,,,14,67,30,127.32,4.244,,,,,,,,,,,,,,,,
83,249L,G1,-,BB_031,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,249R,G2,X,BB_089,5,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,250R,G1,-,BB_205,2,,,,3.63,,,,,,,,,,,,,,,,,,,,,2,15,15,54.45,3.63,,,,,,,,,,,,,,,,
84,251L,G2,X,BB_104,4,,,,2.228571429,,,,,,,,,,,,,,,,,,,,,2,7,7,15.6,2.228571429,,,,,,,,,,,,,,,,
84,251R,G1,-,BB_179,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,252L,G1,-,BB_103,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,253R,G1,-,BB_009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,256L,G1,-,BB_111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,256R,G2,X,BB_059,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,257R,G1,-,BB_150,3,,,,3.2025,,,,,,,,,,,,,,,,,,,,,1,8,8,25.62,3.2025,,,,,,,,,,,,,,,,
86,258L,G1,-,BB_083,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,259L,G2,X,BB_164,5,,,,3.135,,,,,,,,,,,,,,,,,,,,,2,6,6,18.81,3.135,,,,,,,,,,,,,,,,
87,260L,G1,-,BB_214,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,260R,G1,-,BB_133,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,261L,G2,X,BB_054,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,263L,G1,-,BB_016,5,,,,2.94,,,,,,,,,,,,,,,,1,1,1,4.07,4.07,1,1,1,1.81,1.81,,,,,,,,,,,,,,,,
89,266R,G2,X,BB_149,3,,,,2.232,,,,,,,,,,,,,,,,1,5,5,11.16,2.232,,,,,,,,,,,,,,,,,,,,,
90,268L,G2,X,BB_024,4,,,,3.31275974,,,,,,,,,,,,,,,,1,7,7,22.69,3.241428571,6,22,22,74.45,3.384090909,,,,,,,,,,,,,,,,
90,268R,G1,-,BB_139,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,269L,G2,X,BB_133,5,,,,1.942333333,,,,,,,,,,,,,,,,7,41,30,58.27,1.942333333,1,0,0,,,,,,,,,,,,,,,,,,
90,269R,G1,-,BB_042,4,,,,3.061166667,,,,,,,,,,,,,,,,2,10,10,37.19,3.719,1,3,3,7.21,2.403333333,,,,,,,,,,,,,,,,
90,270L,G2,X,BB_205A,3,,,,4.27,,,,,,,,,,,,,,,,,,,,,3,8,8,34.16,4.27,,,,,,,,,,,,,,,,
91,271L,G2,X,BB_013,4,,,,3.470833333,,,,,,,,,,,2,5,5,13.19,2.638,3,10,10,39.82,3.982,2,4,4,15.17,3.7925,,,,,,,,,,,,,,,,
91,271R,G1,-,BB_021,2,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,,,,,,,,,,
91,272L,G1,-,BB_149,5,,,,3.780625,,,,,,,,,,,,,,,,3,16,16,60.49,3.780625,,,,,,,,,,,,,,,,,,,,,
91,272R,G1,-,BB_039,2,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
91,273L,G1,-,BB_209,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,273R,G1,-,BB_204,5,,,,1.78,,,,,,,,,,,,,,,,,,,,,1,1,1,1.78,1.78,,,,,,,,,,,,,,,,
92,274L,G1,-,BB_003,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,274R,G2,X,BB_070,4,,,,2.157142857,,,,,,,,,,,,,,,,,,,,,1,7,7,15.1,2.157142857,,,,,,,,,,,,,,,,
92,275L,G1,-,BB_134,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,276L,G1,-,BB_080,1,,,,4.333333333,,,,,,3,0,0,,,1,0,0,,,,,,,,1,3,3,13,4.333333333,,,,,,,,,,,,,,,,
92,276R,G1,-,BB_061,4,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,277L,G1,-,BB_216,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,277R,G2,X,BB_179,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,278L,G2,X,BB_045,2,,,,2.505,,,,,,,,,,,,,,,,1,6,6,15.03,2.505,,,,,,,,,,,,,,,,,,,,,
93,278R,G1,-,BB_060,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,279L,G1,-,BB_110,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,279R,G1,-,BB_214,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,281L,G1,-,BB_018,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,281R,G1,-,BB_048,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,283L,G1,-,BB_050,2,,,,4.976666667,,,,,,,,,,,,,,,,1,6,6,29.86,4.976666667,2,0,0,,,,,,,,,,,,,,,,,,
95,284L,G1,-,BB_053,1,,,,1.625714286,2,7,7,11.38,1.625714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,285R,G1,-,BB_181,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,287L,G1,-,BB_163,2,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,
96,287R,G1,-,BB_097,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,288L,G1,-,BB_145,1,,,,3.507222222,,,,,,,,,,,1,2,2,9.37,4.685,5,39,30,90.19,3.006333333,9,35,30,84.91,2.830333333,,,,,,,,,,,,,,,,
96,288R,G2,X,BB_147,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,289L,G1,-,BB_146,1,,,,,,,,,,1,0,0,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
97,289R,G1,-,BB_208,5,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
97,290L,G2,X,BB_179,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,290R,G1,-,BB_164,1,,,,1.394,,,,,,,,,,,1,5,5,6.97,1.394,,,,,,,,,,,,,,,,,,,,,,,,,,
97,291L,G1,-,BB_037,1,,,,,,,,,,1,0,0,,,,,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,
97,291R,G2,X,BB_052,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,292R,G1,-,BB_205B,5,,,,12.22666667,,,,,,,,,,,,,,,,,,,,,2,3,3,36.68,12.22666667,,,,,,,,,,,,,,,,
98,293L,G1,-,BB_094,2,,,,4.615,,,,,,,,,,,,,,,,,,,,,2,4,4,18.46,4.615,,,,,,,,,,,,,,,,
98,293R,G1,-,BB_148,5,,,,3.271904762,,,,,,,,,,,,,,,,1,7,7,19.37,2.767142857,1,3,3,11.33,3.776666667,,,,,,,,,,,,,,,,
99,295L,G2,X,BB_060,5,,,,3.234583333,,,,,,,,,,,1,2,2,7.28,3.64,3,12,12,33.95,2.829166667,,,,,,,,,,,,,,,,,,,,,
99,295R,G2,X,BB_138,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,297R,G1,-,BB_207,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,298L,G1,-,BB_081,4,,,,4.092916667,,,,,,,,,,,,,,,,3,24,24,98.23,4.092916667,,,,,,,,,,,,,,,,,,,,,
100,298R,G2,X,BB_087,4,,,,12.58333333,,,,,,,,,,,,,,,,,,,,,3,3,3,37.75,12.58333333,,,,,,1,0,0,,,,,,,,
100,299R,G1,-,BB_143,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,300L,G1,-,BB_049,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,300R,G1,-,BB_121,1,,,,2.620526316,,,,,,,,,,,,,,,,5,19,19,49.79,2.620526316,,,,,,,,,,,,,,,,,,,,,
101,301L,G2,X,BB_002,4,,,,3.94,,,,,,,,,,,,,,,,2,2,2,7.88,3.94,,,,,,,,,,,,,,,,,,,,,
101,301R,G1,-,BB_132,1,,,,3.5725,,,,,,,,,,,,,,,,,,,,,2,4,4,14.29,3.5725,,,,,,,,,,,,,,,,
101,302L,G1,-,BB_085,4,,,,4.522857143,,,,,,,,,,,,,,,,,,,,,3,7,7,31.66,4.522857143,,,,,,,,,,,,,,,,
101,302R,G2,X,BB_166,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,303L,G2,X,BB_150,3,,,,2.253333333,,,,,,,,,,,,,,,,1,3,3,6.76,2.253333333,,,,,,,,,,,,,,,,,,,,,
101,303R,G1,-,BB_007,3,,,,1,,,,,,,,,,,1,0,0,,,1,0,0,,,1,1,1,1,1,,,,,,,,,,,,,,,,
102,304L,G1,-,BB_215,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,304R,G1,-,BB_061,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,305L,G2,X,BB_098,3,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,
102,306R,G2,X,BB_114,1,,,,3.428238095,,,,,,,,,,,,,,,,2,14,14,54.89,3.920714286,1,3,3,6.66,2.22,2,5,5,20.72,4.144,,,,,,,,,,,
103,307L,G1,-,BB_113,4,,,,3.60775,,,,,,,,,,,,,,,,,,,,,2,4,4,7.87,1.9675,1,5,5,26.24,5.248,,,,,,,,,,,
103,308L,G1,-,BB_186,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
