"Any count-specific notes should be left as COMMENTS or detailed thoroughly in the NOTES column at the end. Be sure to double-check the row, collection date, and fruit/seed type as you're entering data",,,,,,,The average of the weekly mean seed mass,Collection Date: 2023-05-12,,,,,Collection Date: 2023-05-26,,,,,Collection Date: 2023-06-08,,,,,Collection Date: 2023-06-22,,,,,Collection Date: NA,,,,
Sequence,Transect,Segment,Gen,Sym,Recipient,Fit_plant,Mean seed mass_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-05-12,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-05-26,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-08,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-22,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg NA
258,8,8L,G1,-,AC_211,1,2.172916667,,,,,,5,12,12,16.27,1.355833333,2,1,1,2.99,2.99,,,,,,,,,,
258,8,8R,G2,X,AC_017,1,0.922,,,,,,3,5,5,4.61,0.922,,,,,,,,,,,,,,,
259,8,9L,G2,X,AC_185,4,0.797857143,,,,,,5,14,14,11.17,0.797857143,,,,,,,,,,,,,,,
260,8,10L,G2,X,AC_100,1,1.8535,,,,,,8,31,30,42.21,1.407,1,1,1,2.3,2.3,,,,,,,,,,
260,8,10R,G2,X,AC_142,2,,,,,,,,,,,,,,,,,,,,,,,,,,
261,8,11L,G1,-,AC_204,4,1.53,,,,,,6,8,8,12.24,1.53,,,,,,,,,,,,,,,
262,8,12R,G1,-,AC_072,2,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
263,8,13R,G1,-,AC_082,2,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
264,8,14R,G1,-,AC_074,5,1.67,,,,,,3,10,10,16.7,1.67,,,,,,,,,,,,,,,
265,8,15L,G2,X,AC_160,1,,,,,,,,,,,,,,,,,,,,,,,,,,
265,8,15R,G1,-,AC_160,1,1.8025,,,,,,2,4,4,7.21,1.8025,,,,,,,,,,,,,,,
266,8,16L,G2,X,AC_133,5,1.4625,,,,,,4,8,8,11.70,1.4625,1,0,0,,,,,,,,,,,,
266,8,16R,G2,X,AC_005,2,,,,,,,,,,,,,,,,,,,,,,,,,,
267,8,17L,G1,-,AC_206,4,,,,,,,,,,,,,,,,,,,,,,,,,,
267,8,17R,G1,-,AC_110,3,,,,,,,,,,,,,,,,,,,,,,,,,,
268,8,18R,G2,X,AC_123,5,1.325384615,,,,,,5,13,13,17.23,1.325384615,,,,,,,,,,,,,,,
269,8,19R,G1,-,AC_062,4,,,,,,,,,,,,,,,,,,,,,,,,,,
270,8,20L,G1,-,AC_014,2,2.06,,,,,,1,1,1,2.06,2.06,,,,,,,,,,,,,,,
270,8,20R,G2,X,AC_058,5,1.8,,,,,,3,1,1,1.80,1.8,,,,,,,,,,,,,,,
271,8,21L,G2,X,AC_155,4,2.96,,,,,,1,1,1,2.96,2.96,1,0,0,,,,,,,,,,,,
271,8,21R,G1,-,AC_115,3,,,,,,,,,,,,,,,,,,,,,,,,,,
272,8,22L,G2,X,AC_113,5,2.41,,,,,,3,2,2,4.82,2.41,,,,,,,,,,,,,,,
272,8,22R,G1,-,AC_189,3,,,,,,,,,,,,,,,,,,,,,,,,,,
273,8,23R,G2,X,AC_052,5,,,,,,,2,0,0,,,,,,,,,,,,,,,,,
274,8,24L,G2,X,AC_218,4,,,,,,,,,,,,,,,,,,,,,,,,,,
274,8,24R,G2,X,AC_104,5,,,,,,,,,,,,,,,,,,,,,,,,,,
275,8,25L,G2,X,AC_208,4,2.275,,,,,,3,4,4,9.10,2.275,,,,,,,,,,,,,,,
275,8,25R,G2,X,AC_097,5,,,,,,,3,0,0,,,,,,,,,,,,,,,,,
276,8,26L,G2,X,AC_158,1,1.29,,,,,,2,5,5,6.45,1.29,,,,,,,,,,,,,,,
277,8,27L,G2,X,AC_096,5,,,,,,,,,,,,,,,,,,,,,,,,,,
277,8,27R,G1,-,AC_083,4,,,,,,,,,,,,,,,,,,,,,,,,,,
278,8,28L,G2,X,AC_133,3,2.923333333,,,,,,1,3,3,8.77,2.923333333,1,0,0,,,,,,,,,,,,
278,8,28R,G1,-,AC_142,1,,,,,,,,,,,,,,,,,,,,,,,,,,
279,8,29L,G2,X,AC_130,1,,,,,,,,,,,,,,,,,,,,,,,,,,
279,8,29R,G1,-,AC_092,5,,,,,,,,,,,,,,,,,,,,,,,,,,
280,8,30R,G1,-,AC_014,2,,,,,,,,,,,,,,,,,,,,,,,,,,
281,8,31L,G1,-,AC_151,1,2.24,,,,,,2,3,3,6.72,2.24,,,,,,,,,,,,,,,
282,8,32L,G2,X,AC_120,2,1.6,,,,,,1,3,3,4.80,1.6,,,,,,,,,,,,,,,
282,8,32R,G2,X,AC_014,2,0.9375,,,,,,1,4,4,3.75,0.9375,,,,,,,,,,,,,,,
283,8,33L,G1,-,AC_015,1,,,,,,,,,,,,,,,,,,,,,,,,,,
283,8,33R,G2,X,AC_151,2,,,,,,,,,,,,,,,,,,,,,,,,,,
284,8,34L,G2,X,AC_119,3,,,,,,,,,,,,,,,,,,,,,,,,,,
284,8,34R,G2,X,AC_088,4,,,,,,,,,,,,,,,,,,,,,,,,,,
285,8,35L,G1,-,AC_064,4,,,,,,,,,,,,,,,,,,,,,,,,,,
285,8,35R,G1,-,AC_182,5,,,,,,,2,0,0,,,,,,,,,,,,,,,,,
286,8,36R,G1,-,AC_200,2,1.469318182,,,,,,4,12,12,12.66,1.055,2,11,11,20.72,1.883636364,,,,,,,,,,
287,9,1L,G2,X,AC_182,4,2.983333333,,,,,,1,0,0,,,1,0,0,,,3,6,6,17.9,2.983333333,,,,,
288,9,2L,G2,X,AC_090,2,1.165,,,,,,4,8,8,9.32,1.165,1,0,0,,,,,,,,,,,,
288,9,2R,G1,-,AC_218,3,0.742,,,,,,2,5,5,3.71,0.742,,,,,,,,,,,,,,,
289,9,3L,G1,-,AC_217,4,0.81,,,,,,7,17,17,13.77,0.81,,,,,,,,,,,,,,,
289,9,3R,G2,X,AC_097,1,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
290,9,4L,G1,-,AC_158,1,,,,,,,,,,,,,,,,,,,,,,,,,,
290,9,4R,G1,-,AC_100,3,,,,,,,,,,,,,,,,,,,,,,,,,,
291,9,5L,G1,-,AC_118,1,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
291,9,5R,G1,-,AC_097,5,0.45,,,,,,1,1,1,0.45,0.45,1,0,0,,,,,,,,,,,,
292,9,6L,G1,-,AC_201,3,,,,,,,3,0,0,,,,,,,,,,,,,,,,,
292,9,6R,G1,-,AC_066,1,,,,,,,2,0,0,,,,,,,,,,,,,,,,,
293,9,7L,G1,-,AC_040,3,1.955,,,,,,1,4,4,7.82,1.955,,,,,,,,,,,,,,,
293,9,7R,G1,-,AC_208,5,,,,,,,,,,,,,,,,,,,,,,,,,,
294,9,8R,G2,X,AC_168,1,,,,,,,2,0,0,,,,,,,,,,,,,,,,,
295,9,9R,G1,-,AC_110,1,,,,,,,,,,,,,,,,,,,,,,,,,,
296,9,10L,G1,-,AC_015,4,0.736666667,,,,,,1,3,3,2.21,0.736666667,,,,,,,,,,,,,,,
296,9,10R,G1,-,AC_155,2,,,,,,,,,,,,,,,,,,,,,,,,,,
297,9,11L,G2,X,AC_015,1,,,,,,,,,,,,,,,,,,,,,,,,,,
297,9,11R,G2,X,AC_154,5,,,,,,,2,0,0,,,,,,,,,,,,,,,,,
298,9,12L,G2,X,AC_115,1,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
298,9,12R,G2,X,AC_092,2,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
299,9,13L,G2,X,AC_122,4,1.18,,,,,,7,15,15,17.7,1.18,,,,,,,,,,,,,,,
299,9,13R,G2,X,AC_048,4,1.595,,,,,,2,2,2,3.19,1.595,,,,,,,,,,,,,,,
300,9,14L,G2,X,AC_074,5,1.37,,,,,,2,2,2,2.74,1.37,,,,,,,,,,,,,,,
300,9,14R,G2,X,AC_211,1,,,,,,,,,,,,,,,,,,,,,,,,,,
301,9,15L,G2,X,AC_218,1,2.161666667,,,,,,4,6,6,12.97,2.161666667,,,,,,,,,,,,,,,
302,9,16L,G2,X,AC_082,1,1.905714286,,,,,,5,7,7,13.34,1.905714286,,,,,,,,,,,,,,,
303,9,17L,G2,X,AC_153,1,,,,,,,,,,,,,,,,,,,,,,,,,,
304,9,18R,G2,X,AC_051,5,2.165,,,,,,1,4,4,8.66,2.165,,,,,,,,,,,,,,,
305,9,19L,G1,-,AC_090,3,,,,,,,,,,,,,,,,,,,,,,,,,,
306,9,20L,G1,-,AC_199,2,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
307,9,21L,G1,-,AC_034,2,,,,,,,,,,,,,,,,,,,,,,,,,,
307,9,21R,G2,X,AC_070,5,,,,,,,,,,,,,,,,,,,,,,,,,,
308,9,22R,G2,X,AC_217,4,2.45,,,,,,2,1,1,2.45,2.45,,,,,,,,,,,,,,,
309,9,23L,G1,-,AC_081,4,1.679166667,,,,,,3,12,12,20.15,1.679166667,,,,,,,,,,,,,,,
311,9,25L,G1,-,AC_155,5,,,,,,,,,,,,,,,,,,,,,,,,,,
312,9,26L,G2,X,AC_092,2,,,,,,,,,,,,,,,,,,,,,,,,,,
312,9,26R,G2,X,AC_186,1,,,,,,,,,,,,,,,,,,,,,,,,,,
313,9,27L,G1,-,AC_015,3,,,,,,,,,,,,,,,,,,,,,,,,,,
314,9,28L,G2,X,AC_075,5,0.515,,,,,,1,2,2,1.03,0.515,,,,,,,,,,,,,,,
314,9,28R,G1,-,AC_193,3,1.47,,,,,,1,1,1,1.47,1.47,,,,,,,,,,,,,,,
315,9,29L,G1,-,AC_128,2,2.32,,,,,,3,7,7,16.24,2.32,,,,,,,,,,,,,,,
315,9,29R,G2,X,AC_179,1,,,,,,,,,,,,,,,,,,,,,,,,,,
316,9,30L,G2,X,AC_097,5,1.938055556,,,,,,3,18,18,23.6,1.311111111,2,2,2,5.13,2.565,,,,,,,,,,
317,9,31L,G1,-,AC_136,4,,,,,,,,,,,,,,,,,,,,,,,,,,
317,9,31R,G2,X,AC_014,1,,,,,,,,,,,,,,,,,,,,,,,,,,
318,9,32L,G2,X,AC_188,5,,,,,,,,,,,,,,,,,,,,,,,,,,
318,9,32R,G1,-,AC_133,5,,,,,,,,,,,,,,,,,,,,,,,,,,
319,9,33L,G1,-,AC_081,5,1.538,,,,,,3,5,5,7.69,1.538,,,,,,,,,,,,,,,
319,9,33R,G2,X,AC_201,1,,,,,,,,,,,,,,,,,,,,,,,,,,
320,9,34R,G1,-,AC_113,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
