"Any count-specific notes should be left as COMMENTS or detailed thoroughly in the NOTES column at the end. Be sure to double-check the row, collection date, and fruit/seed type as you're entering data",,,,,,TOTAL COUNTS (To be summed after all data entered),,,,,Derived,,Collection Date: 2023-03-30,,,,Collection Date: 2023-04-12,,,,Collection Date: 2023-04-26,,,,Collection Date: 2023-05-10,,,,Collection Date: 2023-05-24,,,,Collection Date: 2023-06-07,,,,Collection Date: 2023-06-21,,,,Collection Date: NA,,,,Notes:
71,211L,G1,-,BB_002,4,2,0,8,8,2,4,8,,,,,,,,,,,,,,,,,2,,8,8,,,,,,,,,,,,,
71,212L,G1,-,BB_098,3,2,0,11,11,2,5.5,11,,,,,,,,,,,,,1,,10,10,1,,1,1,,,,,,,,,,,,,
71,212R,G2,X,BB_215,1,8,0,43,58,8,5.375,43,,,,,1,,2,4,,,,,4,,22,32,3,,19,22,,,,,,,,,,,,,
71,213L,G1,-,BB_097,5,2,0,8,8,2,4,8,,,,,,,,,,,,,,,,,2,,8,8,,,,,,,,,,,,,
71,213R,G2,X,BB_089,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,215L,G2,X,BB_139,2,4,0,5,9,4,1.25,5,,,,,,,,,,,,,,,,,3,,3,7,1,,2,2,,,,,,,,,
73,217L,G1,-,BB_134,4,2,0,9,11,2,4.5,9,,,,,,,,,,,,,,,,,2,,9,11,,,,,,,,,,,,,
73,217R,G1,-,BB_183,1,8,0,20,27,8,2.5,20,,,,,,,,,,,,,6,,10,15,2,,10,12,,,,,,,,,,,,,
73,218L,G1,-,BB_085,5,4,0,5,8,4,1.25,5,,,,,,,,,,,,,,,,,,,,,4,,5,8,,,,,,,,,
74,220L,G2,X,BB_004,2,22,7,182,193,29,8.272727273,239.9090909,,,,,1,,0,0,,,,,3,,18,19,13,,129,138,4,1,34,35,1,6,1,1,,,,,
74,221R,G2,X,BB_121,4,3,1,15,15,4,5,20,,,,,,1,,,,,,,3,,15,15,,,,,,,,,,,,,,,,,
74,222L,G1,-,BB_135,4,3,2,8,10,5,2.666666667,13.33333333,,,,,,1,,,,,,,3,,8,10,,,,,,,,,,1,,,,,,,
74,222R,G1,-,BB_164,4,3,0,23,26,3,7.666666667,23,,,,,,,,,,,,,1,,10,12,2,,13,14,,,,,,,,,,,,,
76,226L,G2,X,BB_029,2,2,0,11,11,2,5.5,11,,,,,,,,,,,,,,,,,2,,11,11,,,,,,,,,,,,,
76,227L,G2,X,BB_179,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,229R,G1,-,BB_116,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,232L,G1,-,BB_078,3,10,0,21,28,10,2.1,21,,,,,,,,,,,,,3,,13,17,7,,8,11,,,,,,,,,,,,,
78,233R,G1,-,BB_135,5,4,1,24,24,5,6,30,,,,,,1,,,,,,,1,,15,15,3,,9,9,,,,,,,,,,,,,
78,234R,G2,X,BB_101,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,235L,G1,-,BB_077,1,7,2,6,10,9,0.8571428571,7.714285714,,,,,,,,,1,,0,2,4,2,5,5,2,,1,3,,,,,,,,,,,,,
79,235R,G1,-,BB_131,2,1,1,7,7,2,7,14,,,,,,1,,,,,,,1,,7,7,,,,,,,,,,,,,,,,,
79,236L,G1,-,BB_045,3,5,0,15,15,5,3,15,,,,,,,,,,,,,1,,4,4,4,,11,11,,,,,,,,,,,,,
79,236R,G1,-,BB_158,5,2,0,1,1,2,0.5,1,,,,,,,,,,,,,1,,0,0,1,,1,1,,,,,,,,,,,,,
79,237L,G1,-,BB_095,4,19,1,95,96,20,5,100,,,,,,,,,,,,,6,1,40,41,11,,53,53,2,,2,2,,,,,,,,,
79,237R,G1,-,BB_186,1,13,2,41,42,15,3.153846154,47.30769231,,,,,,,,,,,,,,,,,11,,38,39,2,2,3,3,,,,,,,,,
80,238R,G2,X,BB_123,4,16,2,90,95,18,5.625,101.25,,,,,,,,,,,,,9,,50,55,4,1,30,30,3,1,10,10,,,,,,,,,
80,239L,G1,-,BB_003,5,11,1,34,37,12,3.090909091,37.09090909,,,,,,,,,,,,,10,,32,35,1,1,2,2,,,,,,,,,,,,,
80,239R,G1,-,BB_204,1,12,4,43,56,16,3.583333333,57.33333333,,,,,,,,,,,,,8,,30,41,4,4,13,15,,,,,,,,,,,,,
80,240R,G2,X,BB_151,3,5,0,36,39,5,7.2,36,,,,,,,,,,,,,5,,36,39,,,,,,,,,,,,,,,,,
81,241R,G1,-,BB_170,5,6,3,20,21,9,3.333333333,30,,,,,,,,,,,,,4,,12,13,,,,,2,3,8,8,,,,,,,,,
81,243L,G1,-,BB_049,2,11,0,54,67,11,4.909090909,54,1,,0,4,,,,,1,,1,1,6,,47,51,3,,6,11,,,,,,,,,,,,,
81,243R,G2,X,BB_053,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,244L,G1,-,BB_170,2,9,1,41,43,10,4.555555556,45.55555556,,,,,,,,,,,,,2,,8,9,7,1,33,34,,,,,,,,,,,,,
82,244R,G1,-,BB_060,3,3,0,3,6,3,1,3,,,,,,,,,,,,,,,,,3,,3,6,,,,,,,,,,,,,
82,245L,G1,-,BB_040,4,1,2,0,1,3,0,0,,,,,,,,,,,,,1,,0,1,,2,,,,,,,,,,,,,,,
82,245R,G1,-,BB_053,2,1,0,1,1,1,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,
82,246L,G2,X,BB_215,5,9,1,22,34,10,2.444444444,24.44444444,,,,,1,,1,2,,,,,5,,9,20,3,1,12,12,,,,,,,,,,,,,
83,247L,G1,-,BB_056,3,13,0,47,59,13,3.615384615,47,,,,,,,,,,,,,10,,47,59,3,,0,0,,,,,,,,,,,,,
83,247R,G1,-,BB_104,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,248R,G2,X,BB_002,4,14,2,67,87,16,4.785714286,76.57142857,,,,,,,,,,,,,,,,,14,2,67,87,,,,,,,,,,,,,
83,249L,G1,-,BB_031,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,249R,G2,X,BB_089,5,1,2,0,0,3,0,0,,,,,1,,0,0,,,,,,,,,,2,,,,,,,,,,,,,,,
84,250R,G1,-,BB_205A,2,2,3,15,15,5,7.5,37.5,,,,,,,,,,,,,,,,,2,,15,15,,3,,,,,,,,,,,
84,251L,G2,X,BB_104,4,2,1,7,7,3,3.5,10.5,,,,,,,,,,,,,,,,,2,1,7,7,,,,,,,,,,,,,
84,251R,G1,-,BB_179,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,252L,G1,-,BB_103,1,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
85,253R,G1,-,BB_009,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,256L,G1,-,BB_111,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,256R,G2,X,BB_059,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,257R,G1,-,BB_150,3,1,0,8,8,1,8,8,,,,,,,,,,,,,,,,,1,,8,8,,,,,,,,,,,,,
86,258L,G1,-,BB_083,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,259L,G2,X,BB_164,5,2,1,6,13,3,3,9,,,,,,1,,,,,,,,,,,2,,6,13,,,,,,,,,,,,,
87,260L,G1,-,BB_214,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,260R,G1,-,BB_133,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,261L,G2,X,BB_054,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,263L,G1,-,BB_016,5,2,0,2,3,2,1,2,,,,,,,,,,,,,1,,1,2,1,,1,1,,,,,,,,,,,,,
89,266R,G2,X,BB_149,3,1,0,5,5,1,5,5,,,,,,,,,,,,,1,,5,5,,,,,,,,,,,,,,,,,
90,268L,G2,X,BB_024,4,7,1,29,33,8,4.142857143,33.14285714,,,,,,,,,,,,,1,,7,8,6,1,22,25,,,,,,,,,,,,,
90,268R,G1,-,BB_139,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,269L,G2,X,BB_133,5,8,0,41,43,8,5.125,41,,,,,,,,,,,,,7,,41,43,1,,0,0,,,,,,,,,,,,,
90,269R,G1,-,BB_042,4,3,1,13,13,4,4.333333333,17.33333333,,,,,,,,,,,,,2,1,10,10,1,,3,3,,,,,,,,,,,,,
90,270L,G2,X,BB_205A,3,3,0,8,8,3,2.666666667,8,,,,,,,,,,,,,,,,,3,,8,8,,,,,,,,,,,,,
91,271L,G2,X,BB_013,4,7,0,19,23,7,2.714285714,19,,,,,,,,,2,,5,7,3,,10,12,2,,4,4,,,,,,,,,,,,,
91,271R,G1,-,BB_021,2,2,0,0,2,2,0,0,,,,,,,,,,,,,,,,,2,,0,2,,,,,,,,,,,,,
91,272L,G1,-,BB_149,5,3,0,16,17,3,5.333333333,16,,,,,,,,,,,,,3,,16,17,,,,,,,,,,,,,,,,,
91,272R,G1,-,BB_039,2,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,1,,0,0,,,,,,,,,,,,,
91,273L,G1,-,BB_209,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,273R,G1,-,BB_204,5,1,0,1,3,1,1,1,,,,,,,,,,,,,,,,,1,,1,3,,,,,,,,,,,,,
92,274L,G1,-,BB_003,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,274R,G2,X,BB_070,4,1,0,7,7,1,7,7,,,,,,,,,,,,,,,,,1,,7,7,,,,,,,,,,,,,
92,275L,G1,-,BB_134,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,276L,G1,-,BB_080,1,5,0,3,3,5,0.6,3,,,,,3,,0,0,1,,0,0,,,,,1,,3,3,,,,,,,,,,,,,
92,276R,G1,-,BB_061,4,1,0,0,0,1,0,0,,,,,,,,,1,,0,0,,,,,,,,,,,,,,,,,,,,,
93,277L,G1,-,BB_216,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,277R,G2,X,BB_179,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,278L,G2,X,BB_045,2,1,0,6,6,1,6,6,,,,,,,,,,,,,1,,6,6,,,,,,,,,,,,,,,,,
93,278R,G1,-,BB_060,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,279L,G1,-,BB_110,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,279R,G1,-,BB_214,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,281L,G1,-,BB_018,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,281R,G1,-,BB_048,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,283L,G1,-,BB_050,2,3,0,6,10,3,2,6,,,,,,,,,,,,,1,,6,8,2,,0,2,,,,,,,,,,,,,
95,284L,G1,-,BB_053,1,1,0,7,12,1,7,7,1,,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,285R,G1,-,BB_181,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,287L,G1,-,BB_163,2,2,0,0,1,2,0,0,,,,,,,,,,,,,2,,0,1,,,,,,,,,,,,,,,,,
96,287R,G1,-,BB_097,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,288L,G1,-,BB_145,1,15,0,76,86,15,5.066666667,76,,,,,,,,,1,,2,2,5,,39,44,9,,35,40,,,,,,,,,,,,,
96,288R,G2,X,BB_147,3,0,3,0,0,3,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
97,289L,G1,-,BB_146,1,2,0,0,0,2,0,0,,,,,1,,0,0,,,,,,,,,1,,0,0,,,,,,,,,,,,,
97,289R,G1,-,BB_208,5,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,1,,0,0,,,,,,,,,,,,,
97,290L,G2,X,BB_179,3,0,4,0,0,4,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
97,290R,G1,-,BB_164,1,1,1,5,5,2,5,10,,,,,,,,,1,,5,5,,,,,,,,,,,,,,,,,,1,,,
97,291L,G1,-,BB_037,1,3,0,0,0,3,0,0,,,,,1,,0,0,,,,,2,,0,0,,,,,,,,,,,,,,,,,
97,291R,G2,X,BB_052,4,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
98,292R,G1,-,BB_205B,5,2,0,3,3,2,1.5,3,,,,,,,,,,,,,,,,,2,,3,3,,,,,,,,,,,,,
98,293L,G1,-,BB_094,2,2,0,4,6,2,2,4,,,,,,,,,,,,,,,,,2,,4,6,,,,,,,,,,,,,
98,293R,G1,-,BB_148,5,2,0,10,10,2,5,10,,,,,,,,,,,,,1,,7,7,1,,3,3,,,,,,,,,,,,,
99,295L,G2,X,BB_060,5,4,0,14,15,4,3.5,14,,,,,,,,,1,,2,2,3,,12,13,,,,,,,,,,,,,,,,,
99,295R,G2,X,BB_138,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,297R,G1,-,BB_207,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,298L,G1,-,BB_081,4,3,0,24,26,3,8,24,,,,,,,,,,,,,3,,24,26,,,,,,,,,,,,,,,,,
100,298R,G2,X,BB_087,4,4,3,3,5,7,0.75,5.25,,,,,,,,,,,,,,,,,3,,3,5,,1,,,1,2,0,0,,,,,
100,299R,G1,-,BB_143,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,300L,G1,-,BB_049,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,300R,G1,-,BB_121,1,5,0,19,20,5,3.8,19,,,,,,,,,,,,,5,,19,20,,,,,,,,,,,,,,,,,
101,301L,G2,X,BB_002,4,2,0,2,3,2,1,2,,,,,,,,,,,,,2,,2,3,,,,,,,,,,,,,,,,,
101,301R,G1,-,BB_132,1,2,1,4,4,3,2,6,,,,,,,,,,,,,,,,,2,1,4,4,,,,,,,,,,,,,
101,302L,G1,-,BB_085,4,3,3,7,7,6,2.333333333,14,,,,,,,,,,,,,,,,,3,3,7,7,,,,,,,,,,,,,
101,302R,G2,X,BB_166,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,303L,G2,X,BB_150,3,1,1,3,3,2,3,6,,,,,,,,,,,,,1,1,3,3,,,,,,,,,,,,,,,,,
101,303R,G1,-,BB_007,3,3,0,1,5,3,0.3333333333,1,,,,,,,,,1,,0,1,1,,0,3,1,,1,1,,,,,,,,,,,,,
102,304L,G1,-,BB_215,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,304R,G1,-,BB_061,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,305L,G2,X,BB_098,3,1,1,0,0,2,0,0,,,,,,,,,,,,,,,,,1,1,0,0,,,,,,,,,,,,,
102,306R,G2,X,BB_114,1,5,0,22,23,5,4.4,22,,,,,,,,,,,,,2,,14,14,1,,3,3,2,,5,6,,,,,,,,,
103,307L,G1,-,BB_113,4,3,7,9,12,10,3,30,,,,,,,,,,,,,,,,,2,,4,7,1,7,5,5,,,,,,,,,
103,308L,G1,-,BB_186,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,308R,G2,X,BB_209,4,2,0,7,9,2,3.5,7,,,,,,,,,,,,,1,,7,7,,,,,1,,0,2,,,,,,,,,
103,309L,G2,X,BB_020,2,0,3,0,0,3,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
103,309R,G2,X,BB_149,5,4,0,8,8,4,2,8,,,,,,,,,,,,,1,,3,3,3,,5,5,,,,,,,,,,,,,
104,310L,G1,-,BB_200,2,14,0,36,41,14,2.571428571,36,,,,,,,,,1,,3,4,10,,25,28,3,,8,9,,,,,,,,,,,,,
104,311L,G1,-,BB_148,1,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
104,312L,G1,-,BB_204,5,5,1,33,33,6,6.6,39.6,,,,,,,,,1,,8,8,2,,13,13,,,,,2,1,12,12,,,,,,,,,
104,312R,G2,X,BB_080,3,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
105,313L,G1,-,BB_068,2,21,0,153,158,21,7.285714286,153,,,,,,,,,4,,41,41,,,,,8,,64,69,9,,48,48,,,,,,,,,
105,313R,G2,X,BB_045,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,314L,G1,-,BB_109,5,3,1,17,22,4,5.666666667,22.66666667,,,,,,,,,2,,15,18,,,,,1,1,2,4,,,,,,,,,,,,,
105,315L,G1,-,BB_123,3,2,1,9,9,3,4.5,13.5,,,,,,,,,,,,,2,,9,9,,1,,,,,,,,,,,,,,,
106,316L,G1,-,BB_126,2,2,0,5,6,2,2.5,5,,,,,,,,,1,,3,3,,,,,1,,2,3,,,,,,,,,,,,,
106,316R,G1,-,BB_042,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,317L,G2,X,BB_018,3,7,0,31,31,7,4.428571429,31,,,,,,,,,,,,,3,,16,16,4,,15,15,,,,,,,,,,,,,
106,317R,G1,-,BB_206,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,319L,G1,-,BB_105,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,319R,G1,-,BB_218,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,320L,G1,-,BB_160,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,320R,G2,X,BB_111,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,321L,G1,-,BB_216,2,4,0,9,11,4,2.25,9,,,,,,,,,2,,8,9,2,,1,2,,,,,,,,,,,,,,,,,
107,321R,G1,-,BB_024,3,2,0,13,13,2,6.5,13,,,,,,,,,2,,13,13,,,,,,,,,,,,,,,,,,,,,
108,322L,G1,-,BB_030,3,1,1,2,2,2,2,4,,,,,,,,,,,,,,,,,1,1,2,2,,,,,,,,,,,,,
