"Any count-specific notes should be left as COMMENTS or detailed thoroughly in the NOTES column at the end. Be sure to double-check the row, collection date, and fruit/seed type as you're entering data",,,,,,,TOTAL COUNTS (To be summed after all data entered),,,,,Derived,,Collection Date: 2023-05-12,,,,Collection Date: 2023-05-26,,,,Collection Date: 2023-06-08,,,,Collection Date: 2023-06-22,,,,Collection Date: N/A,,,,
Sequence,Transect,Seg,Gen,Sym,Recipient,Fit_plant,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,avg_seeds_per_fruit,est_fecundity,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_closed_fruit_D2,N_open_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_closed_fruit_D3,N_open_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_closed_fruit_D4,N_open_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_closed_fruit_D5,N_open_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
240,7,26R,G1,-,AC_092,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
241,7,27R,G2,X,AC_017,5,4,3,17,20,7,4.25,29.75,,,,,4,3,17,20,,,,,,,,,,,,,
242,7,28L,G1,-,AC_151,1,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,,,,,1,,,,,,,,,,,
242,7,28R,G2,X,AC_189,2,1,1,10,12,2,10,20,,,,,1,1,10,12,,,,,,,,,,,,,
243,7,29L,G2,X,AC_178,4,0,3,0,0,3,#DIV/0!,#DIV/0!,,,,,,,,,,3,,,,,,,,,,,
243,7,29R,G1,-,AC_216,5,3,3,9,10,6,3,18,,,,,3,3,9,10,,,,,,,,,,,,,
244,7,30L,G2,X,AC_096,1,1,0,0,2,1,0,0,,,,,1,,0,2,,,,,,,,,,,,,
245,7,31L,G2,X,AC_114,2,2,1,15,15,3,7.5,22.5,,,,,2,1,15,15,,,,,,,,,,,,,
245,7,31R,G2,X,AC_123,3,2,2,4,4,4,2,8,,,,,2,2,4,4,,,,,,,,,,,,,
246,7,32L,G2,X,AC_083,2,1,2,2,2,3,2,6,,,,,1,2,2,2,,,,,,,,,,,,,
246,7,32R,G2,X,AC_034,2,1,4,3,3,5,3,15,,,,,1,4,3,3,,,,,,,,,,,,,
247,7,33L,G2,X,AC_216,5,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,2,,,,,,,,,,,,,,,
247,7,33R,G1,-,AC_075,4,1,2,2,2,3,2,6,,,,,,2,,,1,,2,2,,,,,,,,,
248,7,34L,G1,-,AC_107,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
248,7,34R,G1,-,AC_082,1,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
249,7,35L,G1,-,AC_097,5,3,4,9,12,7,3,21,,,,,3,2,9,12,,2,,,,,,,,,,,
249,7,35R,G2,X,AC_211,1,2,3,2,5,5,1,5,,,,,2,3,2,5,,,,,,,,,,,,,
250,7,36L,G2,X,AC_052,3,1,1,7,7,2,7,14,,,,,1,1,7,7,,,,,,,,,,,,,
250,7,36R,G2,X,AC_030,5,2,9,4,4,11,2,22,,,,,1,9,2,2,1,,2,2,,,,,,,,,
251,8,1L,G2,X,AC_193,1,1,0,0,4,1,0,0,,,,,1,,0,4,,,,,,,,,,,,,
251,8,1R,G1,-,AC_011,5,3,0,0,6,3,0,0,,,,,2,,0,3,1,,0,3,,,,,,,,,
252,8,2L,G2,X,AC_038,4,3,0,0,2,3,0,0,,,,,3,,0,2,,,,,,,,,,,,,
252,8,2R,G2,X,AC_191,1,12,0,16,38,12,1.333333333,16,,,,,8,,14,36,4,,2,2,,,,,,,,,
253,8,3L,G2,X,AC_148,4,2,0,0,2,2,0,0,,,,,2,,0,2,,,,,,,,,,,,,
253,8,3R,G1,-,AC_038,2,3,0,2,3,3,0.6666666667,2,,,,,3,,2,3,,,,,,,,,,,,,
254,8,4R,G2,X,AC_089,3,8,0,17,36,8,2.125,17,,,,,6,,7,23,2,,10,13,,,,,,,,,
255,8,5L,G1,-,AC_131,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
255,8,5R,G2,X,AC_218,1,12,0,12,33,12,1,12,,,,,8,,7,21,4,,5,12,,,,,,,,,
256,8,6L,G1,-,AC_206,1,2,0,12,16,2,6,12,,,,,2,,12,16,,,,,,,,,,,,,
256,8,6R,G1,-,AC_186,2,5,1,18,19,6,3.6,21.6,,,,,5,1,18,19,,,,,,,,,,,,,
258,8,8L,G1,-,AC_211,1,7,1,13,18,8,1.857142857,14.85714286,,,,,5,1,12,17,2,,1,1,,,,,,,,,
258,8,8R,G2,X,AC_017,1,3,1,5,6,4,1.666666667,6.666666667,,,,,3,1,5,6,,,,,,,,,,,,,
259,8,9L,G2,X,AC_185,4,5,5,14,19,10,2.8,28,,,,,5,2,14,19,,3,,,,,,,,,,,
260,8,10L,G2,X,AC_100,1,9,1,32,41,10,3.555555556,35.55555556,,,,,8,1,31,40,1,,1,1,,,,,,,,,
260,8,10R,G2,X,AC_142,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
261,8,11L,G1,-,AC_204,4,6,4,8,21,10,1.333333333,13.33333333,,,,,6,4,8,21,,,,,,,,,,,,,
262,8,12R,G1,-,AC_072,2,1,0,0,2,1,0,0,,,,,1,,0,2,,,,,,,,,,,,,
263,8,13R,G1,-,AC_082,2,1,1,0,2,2,0,0,,,,,1,1,0,2,,,,,,,,,,,,,
264,8,14R,G1,-,AC_074,5,3,3,10,12,6,3.333333333,20,,,,,3,3,10,12,,,,,,,,,,,,,
265,8,15L,G2,X,AC_160,1,0,3,0,0,3,#DIV/0!,#DIV/0!,,,,,,3,,,,,,,,,,,,,,,
265,8,15R,G1,-,AC_160,1,2,1,4,6,3,2,6,,,,,2,1,4,6,,,,,,,,,,,,,
266,8,16L,G2,X,AC_133,5,5,4,8,12,9,1.6,14.4,,,,,4,4,8,12,1,,0,0,,,,,,,,,
266,8,16R,G2,X,AC_005,2,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
267,8,17L,G1,-,AC_206,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
267,8,17R,G1,-,AC_110,3,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
268,8,18R,G2,X,AC_123,5,5,1,13,19,6,2.6,15.6,,,,,5,1,13,19,,,,,,,,,,,,,
269,8,19R,G1,-,AC_062,4,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,2,,,,,,,,,,,,,,,
270,8,20L,G1,-,AC_014,2,1,3,1,1,4,1,4,,,,,1,3,1,1,,,,,,,,,,,,,
270,8,20R,G2,X,AC_058,5,3,4,1,16,7,0.3333333333,2.333333333,,,,,3,4,1,16,,,,,,,,,,,,,
271,8,21L,G2,X,AC_155,4,2,2,1,5,4,0.5,2,,,,,1,2,1,5,1,,0,0,,,,,,,,,
271,8,21R,G1,-,AC_115,3,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,2,,,,,,,,,,,,,,,
272,8,22L,G2,X,AC_113,5,3,1,2,11,4,0.6666666667,2.666666667,,,,,3,1,2,11,,,,,,,,,,,,,
272,8,22R,G1,-,AC_189,3,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
273,8,23R,G2,X,AC_052,5,2,1,0,1,3,0,0,,,,,2,1,0,1,,,,,,,,,,,,,
274,8,24L,G2,X,AC_218,4,0,3,0,0,3,#DIV/0!,#DIV/0!,,,,,,3,,,,,,,,,,,,,,,
274,8,24R,G2,X,AC_104,5,0,4,0,0,4,#DIV/0!,#DIV/0!,,,,,,4,,,,,,,,,,,,,,,
275,8,25L,G2,X,AC_208,4,3,0,4,11,3,1.333333333,4,,,,,3,,4,11,,,,,,,,,,,,,
275,8,25R,G2,X,AC_097,5,3,0,0,3,3,0,0,,,,,3,,0,3,,,,,,,,,,,,,
276,8,26L,G2,X,AC_158,1,2,2,5,5,4,2.5,10,,,,,2,2,5,5,,,,,,,,,,,,,
277,8,27L,G2,X,AC_096,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
277,8,27R,G1,-,AC_083,4,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
278,8,28L,G2,X,AC_133,3,2,0,3,3,2,1.5,3,,,,,1,,3,3,1,,0,0,,,,,,,,,
278,8,28R,G1,-,AC_142,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
279,8,29L,G2,X,AC_130,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
279,8,29R,G1,-,AC_092,5,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,,,,,1,,,,,,,,,,,
280,8,30R,G1,-,AC_014,2,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,2,,,,,,,,,,,,,,,
281,8,31L,G1,-,AC_151,1,2,0,3,4,2,1.5,3,,,,,2,,3,4,,,,,,,,,,,,,
282,8,32L,G2,X,AC_120,2,1,3,3,3,4,3,12,,,,,1,3,3,3,,,,,,,,,,,,,
282,8,32R,G2,X,AC_014,2,1,1,4,4,2,4,8,,,,,1,1,4,4,,,,,,,,,,,,,
283,8,33L,G1,-,AC_015,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
283,8,33R,G2,X,AC_151,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
284,8,34L,G2,X,AC_119,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
284,8,34R,G2,X,AC_088,4,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
285,8,35L,G1,-,AC_064,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
285,8,35R,G1,-,AC_182,5,2,0,0,2,2,0,0,,,,,2,,0,2,,,,,,,,,,,,,
286,8,36R,G1,-,AC_200,2,6,5,24,35,11,4,44,,,,,4,4,12,18,2,1,12,17,,,,,,,,,
287,9,1L,G2,X,AC_182,4,5,0,6,8,5,1.2,6,,,,,1,,0,0,1,,0,2,3,,6,6,,,,,
288,9,2L,G2,X,AC_090,2,5,0,8,19,5,1.6,8,,,,,4,,8,19,1,,0,0,,,,,,,,,
288,9,2R,G1,-,AC_218,3,2,0,5,14,2,2.5,5,,,,,2,,5,14,,,,,,,,,,,,,
289,9,3L,G1,-,AC_217,4,7,1,17,21,8,2.428571429,19.42857143,,,,,7,,17,21,,1,,,,,,,,,,,
289,9,3R,G2,X,AC_097,1,1,0,0,0,1,0,0,,,,,1,,0,0,,,,,,,,,,,,,
290,9,4L,G1,-,AC_158,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
290,9,4R,G1,-,AC_100,3,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
291,9,5L,G1,-,AC_118,1,1,0,0,6,1,0,0,,,,,1,,0,6,,,,,,,,,,,,,
291,9,5R,G1,-,AC_097,5,2,2,2,3,4,1,4,,,,,1,2,2,2,1,,0,1,,,,,,,,,
292,9,6L,G1,-,AC_201,3,3,7,0,7,10,0,0,,,,,3,4,0,7,,3,,,,,,,,,,,
292,9,6R,G1,-,AC_066,1,2,4,0,3,6,0,0,,,,,2,2,0,3,,2,,,,,,,,,,,
293,9,7L,G1,-,AC_040,3,1,3,4,4,4,4,16,,,,,1,3,4,4,,,,,,,,,,,,,
293,9,7R,G1,-,AC_208,5,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
294,9,8R,G2,X,AC_168,1,2,2,0,5,4,0,0,,,,,2,2,0,5,,,,,,,,,,,,,
295,9,9R,G1,-,AC_110,1,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,2,,,,,,,,,,,,,,,
296,9,10L,G1,-,AC_015,4,1,3,3,3,4,3,12,,,,,1,,3,3,,3,,,,,,,,,,,
296,9,10R,G1,-,AC_155,2,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,2,,,,,,,,,,,,,,,
297,9,11L,G2,X,AC_015,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
297,9,11R,G2,X,AC_154,5,2,1,0,4,3,0,0,,,,,2,1,0,4,,,,,,,,,,,,,
298,9,12L,G2,X,AC_115,1,1,1,0,0,2,0,0,,,,,1,1,0,0,,,,,,,,,,,,,
298,9,12R,G2,X,AC_092,2,1,1,0,1,2,0,0,,,,,1,1,0,1,,,,,,,,,,,,,
299,9,13L,G2,X,AC_122,4,7,4,15,21,11,2.142857143,23.57142857,,,,,7,,15,21,,4,,,,,,,,,,,
299,9,13R,G2,X,AC_048,4,2,1,2,3,3,1,3,,,,,2,1,2,3,,,,,,,,,,,,,
300,9,14L,G2,X,AC_074,5,2,0,2,4,2,1,2,,,,,2,,2,4,,,,,,,,,,,,,
300,9,14R,G2,X,AC_211,1,0,3,0,0,3,#DIV/0!,#DIV/0!,,,,,,3,,,,,,,,,,,,,,,
301,9,15L,G2,X,AC_218,1,4,2,6,12,6,1.5,9,,,,,4,,6,12,,2,,,,,,,,,,,
302,9,16L,G2,X,AC_082,1,5,4,7,13,9,1.4,12.6,,,,,5,4,7,13,,,,,,,,,,,,,
303,9,17L,G2,X,AC_153,1,0,3,0,0,3,#DIV/0!,#DIV/0!,,,,,,3,,,,,,,,,,,,,,,
304,9,18R,G2,X,AC_051,5,1,3,4,4,4,4,16,,,,,1,2,4,4,,1,,,,,,,,,,,
305,9,19L,G1,-,AC_090,3,0,3,0,0,3,#DIV/0!,#DIV/0!,,,,,,3,,,,,,,,,,,,,,,
306,9,20L,G1,-,AC_199,2,1,3,0,3,4,0,0,,,,,1,2,0,3,,1,,,,,,,,,,,
307,9,21L,G1,-,AC_034,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
307,9,21R,G2,X,AC_070,5,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,2,,,,,,,,,,,,,,,
308,9,22R,G2,X,AC_217,4,2,4,1,4,6,0.5,3,,,,,2,2,1,4,,2,,,,,,,,,,,
309,9,23L,G1,-,AC_081,4,3,1,12,12,4,4,16,,,,,3,1,12,12,,,,,,,,,,,,,
311,9,25L,G1,-,AC_155,5,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
312,9,26L,G2,X,AC_092,2,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,2,,,,,,,,,,,,,,,
312,9,26R,G2,X,AC_186,1,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
313,9,27L,G1,-,AC_015,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
314,9,28L,G2,X,AC_075,5,1,2,2,2,3,2,6,,,,,1,2,2,2,,,,,,,,,,,,,
314,9,28R,G1,-,AC_193,3,1,4,1,4,5,1,5,,,,,1,3,1,4,,1,,,,,,,,,,,
315,9,29L,G1,-,AC_128,2,3,1,7,7,4,2.333333333,9.333333333,,,,,3,1,7,7,,,,,,,,,,,,,
315,9,29R,G2,X,AC_179,1,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,,,,,2,,,,,,,,,,,
316,9,30L,G2,X,AC_097,5,5,0,20,22,5,4,20,,,,,3,,18,18,2,,2,4,,,,,,,,,
317,9,31L,G1,-,AC_136,4,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,,,,,1,,,,,,,,,,,
317,9,31R,G2,X,AC_014,1,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,,,,,2,,,,,,,,,,,
318,9,32L,G2,X,AC_188,5,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
318,9,32R,G1,-,AC_133,5,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
319,9,33L,G1,-,AC_081,5,3,1,5,9,4,1.666666667,6.666666667,,,,,3,1,5,9,,,,,,,,,,,,,
319,9,33R,G2,X,AC_201,1,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
320,9,34R,G1,-,AC_113,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
